Danh mục gộp Station,,,
Nhóm,Sector,Station,Ghi chú
EUR,SGNICN,BCN,
EUR,SGNICN,CDG,
EUR,SGNICN,FRA,
EUR,SGNICN,LHR,
EUR,SGNICN,MAD,
EUR,SGNICN,MAN,
EUR,SGNICN,MIL,
EUR,SGNICN,MUC,
EUR,SGNICN,ORY,
EUR,SGNKIX,CDG,
EUR,SGNKIX,FRA,
EUR,SGNKIX,MAD,
EUR,SGNNRT,BCN,
EUR,SGNNRT,CDG,
EUR,SGNNRT,FRA,
EUR,SGNNRT,LYS,
EUR,SGNNRT,MAD,
EUR,SGNNRT,MAN,
EUR,SGNNRT,MIL,
EUR,SGNNRT,NTE,
FRA,HANMEL,BER,
FRA,HANMEL,BRE,
FRA,HANMEL,HAJ,
FRA,HANMEL,HAM,
FRA,HANMEL,MUC,
FRA,HANMEL,STR,
FRA,HANMEL,TXL,
FRA,HANSYD,BER,
FRA,HANSYD,BRE,
FRA,HANSYD,HAJ,
FRA,HANSYD,HAM,
FRA,HANSYD,MUC,
FRA,HANSYD,STR,
FRA,HANSYD,TXL,
FRA,SGNMEL,BER,
FRA,SGNMEL,BRE,
FRA,SGNMEL,HAJ,
FRA,SGNMEL,HAM,
FRA,SGNMEL,MUC,
FRA,SGNMEL,STR,
FRA,SGNMEL,TXL,
FRA,SGNPER,BER,
FRA,SGNPER,BRE,
FRA,SGNPER,HAJ,
FRA,SGNPER,HAM,
FRA,SGNPER,MUC,
FRA,SGNPER,STR,
FRA,SGNPER,TXL,
FRA,SGNSYD,BER,
FRA,SGNSYD,BRE,
FRA,SGNSYD,HAJ,
FRA,SGNSYD,HAM,
FRA,SGNSYD,MUC,
FRA,SGNSYD,STR,
FRA,SGNSYD,TXL,
GAV,HANMEL,ALC,
GAV,HANMEL,BCN,
GAV,HANMEL,BIO,
GAV,HANMEL,LIS,
GAV,HANMEL,MAD,
GAV,HANMEL,OPO,
GAV,HANMEL,VIT,
GAV,HANMEL,VLC,
GAV,HANMEL,ZAZ,
GAV,HANSYD,BCN,
GAV,HANSYD,BIO,
GAV,HANSYD,LIS,
GAV,HANSYD,MAD,
GAV,HANSYD,OPO,
GAV,HANSYD,VIT,
GAV,HANSYD,VLC,
GAV,HANSYD,ZAZ,
GAV,SGNMEL,ALC,
GAV,SGNMEL,BCN,
GAV,SGNMEL,BIO,
GAV,SGNMEL,LIS,
GAV,SGNMEL,MAD,
GAV,SGNMEL,OPO,
GAV,SGNMEL,VIT,
GAV,SGNMEL,VLC,
GAV,SGNMEL,ZAZ,
GAV,SGNPER,ALC,
GAV,SGNPER,BCN,
