STS,DEST,Month,Flight No,Phân thị,Sector,A/C,Dow,Vị trí phân bổ,AC type,CW/ vị trí,Total CW,Net Rate ($),All in,Revenue,,,,,,,,,,,,,
BOM,PER,AUG,VN791,Úc,SGNPER,787,D1,1,1,700.00,"2,800.00",,1.45,"4,060.00",,,,,,,,,,,,,
BOM,PER,AUG,VN791,Úc,SGNPER,787,D4,1,1,700.00,"2,800.00",,1.45,"4,060.00",,,,,,,,,,,,,
BOM,PER,AUG,VN791,Úc,SGNPER,787,D6,1,1,700.00,700.00,,1.45,"1,015.00",,,,,,,,,,,,,
BOM,PER,SEP,VN791,Úc,SGNPER,787,D1,1,1,700.00,"3,500.00",,1.25,"4,375.00",,,,,,,,,,,,,
BOM,PER,SEP,VN791,Úc,SGNPER,787,D4,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,PER,SEP,VN791,Úc,SGNPER,787,D6,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,PER,OCT,VN791,Úc,SGNPER,787,D1,1,1,700.00,"1,400.00",,1.25,"1,750.00",,,,,,,,,,,,,
BOM,PER,OCT,VN791,Úc,SGNPER,787,D4,1,1,700.00,"3,500.00",,1.25,"4,375.00",,,,,,,,,,,,,
BOM,PER,OCT,VN791,Úc,SGNPER,787,D6,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,PER,NOV,VN791,Úc,SGNPER,787,D1,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,PER,NOV,VN791,Úc,SGNPER,787,D4,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,PER,NOV,VN791,Úc,SGNPER,787,D6,1,1,700.00,"3,500.00",,1.25,"4,375.00",,,,,,,,,,,,,
BOM,PER,DEC,VN791,Úc,SGNPER,787,D1,1,1,700.00,"3,500.00",,1.25,"4,375.00",,,,,,,,,,,,,
BOM,PER,DEC,VN791,Úc,SGNPER,787,D4,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,PER,DEC,VN791,Úc,SGNPER,787,D6,1,1,700.00,"2,800.00",,1.25,"3,500.00",,,,,,,,,,,,,
BOM,SYD,JUL,VN787,Úc,HANSYD,350,D2,1,1,700.00,"3,500.00",,1.5,"5,250.00",,,,,,,,,,,,,
BOM,SYD,JUL,VN787,Úc,HANSYD,350,D5,1,1,700.00,"2,800.00",,1.5,"4,200.00",,,,,,,,,,,,,
BOM,SYD,AUG,VN787,Úc,HANSYD,350,D2,1,1,700.00,"2,800.00",,1.5,"4,200.00",,,,,,,,,,,,,
BOM,SYD,AUG,VN787,Úc,HANSYD,350,D5,1,1,700.00,"3,500.00",,1.5,"5,250.00",,,,,,,,,,,,,
BOM,SYD,SEP,VN787,Úc,HANSYD,350,D2,1,1,700.00,"3,500.00",,1.35,"4,725.00",,,,,,,,,,,,,
BOM,SYD,SEP,VN787,Úc,HANSYD,350,D5,1,1,700.00,"2,800.00",,1.35,"3,780.00",,,,,,,,,,,,,
BOM,SYD,OCT,VN787,Úc,HANSYD,350,D2,1,1,700.00,"2,100.00",,1.35,"2,835.00",,,,,,,,,,,,,
BOM,SYD,OCT,VN787,Úc,HANSYD,350,D5,1,1,700.00,"3,500.00",,1.35,"4,725.00",,,,,,,,,,,,,
BOM,SYD,NOV,VN787,Úc,HANSYD,350,D2,1,1,700.00,"2,800.00",,1.35,"3,780.00",,,,,,,,,,,,,
BOM,SYD,NOV,VN787,Úc,HANSYD,350,D5,1,1,700.00,"2,800.00",,1.35,"3,780.00",,,,,,,,,,,,,
BOM,SYD,DEC,VN787,Úc,HANSYD,350,D2,1,1,700.00,"3,500.00",,1.35,"4,725.00",,,,,,,,,,,,,
BOM,SYD,DEC,VN787,Úc,HANSYD,350,D5,1,1,700.00,"2,800.00",,1.35,"3,780.00",,,,,,,,,,,,,
CAN,CDG,JAN,VN019,Châu Âu,HANCDG,350,D1,3,1,500.00,"6,000.00",2.8,2.8,"16,800.00",,,,,,,,,,,,,
CAN,CDG,JAN,VN011,Châu Âu,SGNCDG,350,D1,3,1,500.00,"6,000.00",2.8,2.8,"16,800.00",,,,,,,,,,,,,
